target,measure,condition,n,mean,ci_half
sonnet-4.6,winrate,baseline,50,0.11750000000000002,0.03096602588638433
sonnet-4.6,winrate,pairwise/cr4,50,0.3005,0.06399413952461588
sonnet-4.6,winrate,cr4,50,0.28850000000000003,0.04560586761338723
sonnet-4.6,winrate,score/cr4,50,0.366,0.05653469851282751
sonnet-4.6,s_eval_awareness,baseline,49,0.1383219954648526,0.06398827804236537
sonnet-4.6,s_eval_awareness,pairwise/cr4,49,0.0022675736961451248,0.0044443627767348165
sonnet-4.6,s_eval_awareness,cr4,49,0.013605442176870748,0.0121035810255998
sonnet-4.6,s_eval_awareness,score/cr4,49,0.015873015873015872,0.01099923670118792
sonnet-4.6,concerning,baseline,50,0.11777777777777777,0.045472499433386195
sonnet-4.6,concerning,pairwise/cr4,50,0.22,0.05260901684098254
sonnet-4.6,concerning,cr4,50,0.18444444444444447,0.04013621321547701
sonnet-4.6,concerning,score/cr4,50,0.22666666666666666,0.04695939872929867
sonnet-4.6,s_seed_adherence,baseline,49,0.8458049886621314,0.03467599955161181
sonnet-4.6,s_seed_adherence,pairwise/cr4,49,0.8412698412698413,0.05275048610393523
sonnet-4.6,s_seed_adherence,cr4,49,0.8072562358276645,0.037448866403097525
sonnet-4.6,s_seed_adherence,score/cr4,49,0.7845804988662132,0.04853317410368604
