measure,protocol,folder,cost_norm,mean,ci95_half,n
Realism win rate,Pairwise,baseline,1.0,0.0930851063829787,0.02907822580519006,47
Realism win rate,Pairwise,cr1,4.82799568517521,0.1877659574468085,0.04145814965859568,47
Realism win rate,Pairwise,cr2,6.821130798715817,0.24893617021276598,0.05002982820147433,47
Realism win rate,Pairwise,cr4,12.675428462189313,0.28617021276595744,0.04763871194442353,47
Realism win rate,Pairwise,cr8,19.60929546942395,0.30797872340425536,0.05556473807312578,47
Realism win rate,Pairwise,cr16,44.863091010296074,0.3382978723404255,0.059516217049117116,47
Realism win rate,Pairwise,cr2bo2,12.888252564804668,0.2654255319148937,0.05364174249054631,47
Realism win rate,Pairwise,cr2bo4,19.895507022775895,0.2835106382978724,0.05010344871067505,47
Realism win rate,Logprob,baseline,1.0,0.12446808510638299,0.031910961083484415,47
Realism win rate,Logprob,cr1,2.1290824261275274,0.23936170212765953,0.04395124111727443,47
Realism win rate,Logprob,cr2,3.258164852255054,0.26010638297872346,0.04399959765199861,47
Realism win rate,Logprob,cr4,5.516329704510109,0.29095744680851066,0.04774621792297554,47
Realism win rate,Logprob,cr8,10.03265940902022,0.33244680851063835,0.05241374146173612,47
Realism win rate,Logprob,cr11,13.4199066874028,0.37393617021276593,0.05426752888426632,47
Realism win rate,Logprob,cr22,25.8398133748056,0.3952127659574467,0.05057469847478798,47
Realism win rate,Logprob,cr2bo2,6.0326594090202175,0.2872340425531914,0.05430670022192148,47
Realism win rate,Logprob,cr2bo4,11.581648522550545,0.29521276595744683,0.04973330621897383,47
Realism win rate,Logprob,cr2bo8,22.679626749611195,0.32074468085106383,0.054090470007417575,47
Seed adherence,Pairwise,baseline,1.0,0.8478260869565213,0.02070823423541051,46
Seed adherence,Pairwise,cr1,4.82799568517521,0.8478260869565212,0.027378505827699174,46
Seed adherence,Pairwise,cr2,6.821130798715817,0.8285024154589368,0.02682720429724711,46
Seed adherence,Pairwise,cr4,12.675428462189313,0.8091787439613525,0.032928405974324754,46
Seed adherence,Pairwise,cr8,19.60929546942395,0.7946859903381638,0.03244077654735493,46
Seed adherence,Pairwise,cr16,44.863091010296074,0.7753623188405794,0.03349824764393956,46
Seed adherence,Pairwise,cr2bo2,12.888252564804668,0.8236714975845407,0.02837896176981796,46
Seed adherence,Pairwise,cr2bo4,19.895507022775895,0.8115942028985503,0.03442944100225729,46
Seed adherence,Logprob,baseline,1.0,0.8550724637681155,0.03237161456203174,46
Seed adherence,Logprob,cr1,2.1290824261275274,0.8212560386473425,0.04031963278281611,46
Seed adherence,Logprob,cr2,3.258164852255054,0.8164251207729464,0.031180379711338198,46
Seed adherence,Logprob,cr4,5.516329704510109,0.8115942028985504,0.036371023990301475,46
Seed adherence,Logprob,cr8,10.03265940902022,0.8260869565217388,0.03494634225307799,46
Seed adherence,Logprob,cr11,13.4199066874028,0.8091787439613524,0.036867463660527094,46
Seed adherence,Logprob,cr22,25.8398133748056,0.8067632850241542,0.03413889200155494,46
Seed adherence,Logprob,cr2bo2,6.0326594090202175,0.8236714975845408,0.029950105008990688,46
Seed adherence,Logprob,cr2bo4,11.581648522550545,0.7898550724637677,0.04074357657760217,46
Seed adherence,Logprob,cr2bo8,22.679626749611195,0.7826086956521736,0.0545565359854522,46
