panel,folder,label,group,n_value_seeds,n_cost_seeds,mean_cost_usd,cost_sem,mean_value,value_sem
winrate,baseline,baseline,baseline,50,50,3.215,0.0,0.1175,0.01579928311471047
winrate,cr1,cr1,depth,50,50,6.8450000000000015,2.5376526277146434e-16,0.22699999999999995,0.02225593248130136
winrate,cr2,cr2,depth,50,50,10.474999999999998,0.0,0.257,0.022016227781213697
winrate,cr4,cr4,depth,50,50,17.735,0.0,0.28850000000000003,0.023268727371074414
winrate,cr8,cr8,depth,50,50,32.255,0.0,0.33399999999999996,0.02794637722496424
winrate,cr11,cr11,depth,50,50,43.145,0.0,0.36972222222222223,0.026826013189124448
winrate,cr22,cr22,depth,50,50,83.075,0.0,0.385,0.02638026473231341
winrate,bo2,bo2,breath,50,50,4.875,0.0,0.124,0.01830802210697233
winrate,bo4,bo4,breath,50,50,8.195,0.0,0.129,0.01627819375227899
winrate,bo8,bo8,breath,50,50,14.835000000000004,5.075305255429287e-16,0.1225,0.01760174504335944
winrate,bo16,bo16,breath,50,50,28.115000000000006,5.075305255429287e-16,0.1545,0.022414121824038905
winrate,cr2bo2,cr2bo2,mix,50,50,19.394999999999996,5.075305255429287e-16,0.2835,0.027734252748365225
winrate,cr2bo4,cr2bo4,mix,50,50,37.235,0.0,0.2915,0.025270071836309548
winrate,cr2bo8,cr2bo8,mix,50,50,72.91499999999998,2.0301221021717147e-15,0.32,0.0275532878885513
eval_awareness,baseline,baseline,baseline,49,50,3.215,0.0,0.08616780045351474,0.022038475531166203
eval_awareness,cr1,cr1,depth,49,50,6.8450000000000015,2.5376526277146434e-16,0.02494331065759637,0.013067272577188562
eval_awareness,cr2,cr2,depth,49,50,10.474999999999998,0.0,0.006802721088435374,0.0038448582670778156
eval_awareness,cr4,cr4,depth,49,50,17.735,0.0,0.0022675736961451248,0.002267573696145125
eval_awareness,cr8,cr8,depth,49,50,32.255,0.0,0.011337868480725623,0.011337868480725623
eval_awareness,cr11,cr11,depth,49,50,43.145,0.0,0.0045351473922902496,0.003173253141297555
eval_awareness,cr22,cr22,depth,49,50,83.075,0.0,0.0,0.0
eval_awareness,bo2,bo2,breath,49,50,4.875,0.0,0.07029478458049887,0.019357563581591693
eval_awareness,bo4,bo4,breath,49,50,8.195,0.0,0.04988662131519274,0.01338316795890081
eval_awareness,bo8,bo8,breath,49,50,14.835000000000004,5.075305255429287e-16,0.06575963718820861,0.02072587994436321
eval_awareness,bo16,bo16,breath,49,50,28.115000000000006,5.075305255429287e-16,0.036281179138321996,0.01389370857494467
eval_awareness,cr2bo2,cr2bo2,mix,49,50,19.394999999999996,5.075305255429287e-16,0.0045351473922902496,0.00453514739229025
eval_awareness,cr2bo4,cr2bo4,mix,49,50,37.235,0.0,0.0,0.0
eval_awareness,cr2bo8,cr2bo8,mix,49,50,72.91499999999998,2.0301221021717147e-15,0.0,0.0
concerning,baseline,baseline,baseline,49,50,3.215,0.0,0.12018140589569162,0.023551675825216535
concerning,cr1,cr1,depth,49,50,6.8450000000000015,2.5376526277146434e-16,0.17233560090702948,0.02050765201455595
concerning,cr2,cr2,depth,49,50,10.474999999999998,0.0,0.1836734693877551,0.019588608325590697
concerning,cr4,cr4,depth,49,50,17.735,0.0,0.18594104308390022,0.020844417585997997
concerning,cr8,cr8,depth,49,50,32.255,0.0,0.20181405895691612,0.025445033071826016
