target,measure,condition,n,mean,ci_half
_,winrate,cr8_o48,10,0.0475,0.04702665735129082
_,winrate,cr8_g55,10,0.08763157894736844,0.05621265829995319
_,winrate,cr8_g55_sel_o48,10,0.085,0.0637616179105263
_,winrate,cr8_g55_fb_o48,10,0.03789473684210527,0.03500893001995864
_,winrate,swap_b,10,0.0875,0.06744178193739626
_,s_seed_adherence,cr8_o48,10,0.7555555555555554,0.12059765632918817
_,s_seed_adherence,cr8_g55,10,0.4999999999999999,0.1694659997331203
_,s_seed_adherence,cr8_g55_sel_o48,10,0.5222222222222223,0.20286626984926046
_,s_seed_adherence,cr8_g55_fb_o48,10,0.711111111111111,0.13463672783360076
_,s_seed_adherence,swap_b,10,0.4888888888888888,0.14224923485497215
