target,measure,condition,n,mean,ci_half
_,winrate,cr8_o48,10,0.0475,0.04702665735129082
_,winrate,cr8_g55,10,0.08763157894736844,0.05621265829995319
_,winrate,cr8_g55_sel_o48,10,0.085,0.0637616179105263
_,winrate,cr8_g55_fb_o48,10,0.03789473684210527,0.03500893001995864
_,winrate,swap_b,10,0.0875,0.06744178193739626
_,s_seed_adherence,cr8_o48,9,0.7283950617283951,0.05273632679993464
_,s_seed_adherence,cr8_g55,9,0.45679012345679015,0.17195260564876588
_,s_seed_adherence,cr8_g55_sel_o48,9,0.48148148148148145,0.17406772336323695
_,s_seed_adherence,cr8_g55_fb_o48,9,0.691358024691358,0.11915683074306599
_,s_seed_adherence,swap_b,9,0.5061728395061729,0.14568575117818308
