target,measure,condition,n,mean,ci_half
_,winrate,cr8_o48,10,0.0475,0.04702665735129082
_,winrate,cr8_g55,10,0.08763157894736844,0.05621265829995319
_,winrate,cr8_g55_sel_o48,10,0.085,0.0637616179105263
_,winrate,cr8_g55_fb_o48,10,0.03789473684210527,0.03500893001995864
_,winrate,swap_b,10,0.0875,0.06744178193739626
_,s_seed_adherence,cr8_o48,10,0.7444444444444445,0.06328359215992155
_,s_seed_adherence,cr8_g55,10,0.49444444444444446,0.16589127734744166
_,s_seed_adherence,cr8_g55_sel_o48,10,0.5166666666666668,0.17858777476431334
_,s_seed_adherence,cr8_g55_fb_o48,10,0.7,0.11727476747551348
_,s_seed_adherence,swap_b,10,0.5,0.131868570040245
