target,measure,condition,n,mean,ci_half
_,winrate,cr8_s46,9,0.25555555555555554,0.13659772221077085
_,winrate,cr8_o48,9,0.044444444444444446,0.05214931722493496
_,winrate,cr8_o48_sel_s46,9,0.05,0.04243446502785645
_,winrate,cr8_o48_fb_s46,9,0.03611111111111112,0.025967867753029363
_,winrate,cr8_o48_selfb_s46,9,0.030555555555555558,0.0178504768589825
_,winrate,swap_a,9,0.2361111111111111,0.12889420693647502
_,s_seed_adherence,cr8_s46,9,0.7530864197530863,0.10753420336746002
_,s_seed_adherence,cr8_o48,9,0.7283950617283951,0.05273632679993464
_,s_seed_adherence,cr8_o48_sel_s46,9,0.7037037037037037,0.13086575267262732
_,s_seed_adherence,cr8_o48_fb_s46,9,0.691358024691358,0.094492642438535
_,s_seed_adherence,cr8_o48_selfb_s46,9,0.7160493827160495,0.07359256472774223
_,s_seed_adherence,swap_a,9,0.6049382716049382,0.1627692505790523
