target,measure,condition,n,mean,ci_half
sonnet-4.6,winrate,baseline,109,0.11096065631616091,0.020283094705928078
sonnet-4.6,winrate,realism_filter,109,0.11758409785932722,0.020009846512498108
sonnet-4.6,winrate,cr2bo4,109,0.2775229357798165,0.035167267665765216
sonnet-4.6,s_eval_awareness,baseline,109,0.08562691131498472,0.03594799365463528
sonnet-4.6,s_eval_awareness,realism_filter,109,0.08307849133537207,0.034316558121654364
sonnet-4.6,s_eval_awareness,cr2bo4,109,0.0254841997961264,0.0161530366025257
sonnet-4.6,concerning,baseline,109,0.19724770642201842,0.031719564848135116
sonnet-4.6,concerning,realism_filter,109,0.18858307849133538,0.03115998516880457
sonnet-4.6,concerning,cr2bo4,109,0.3139653414882773,0.0302200230037173
sonnet-4.6,s_seed_adherence,baseline,109,0.8873598369011212,0.017809380357785932
sonnet-4.6,s_seed_adherence,realism_filter,109,0.8812436289500509,0.021358402858625003
sonnet-4.6,s_seed_adherence,cr2bo4,109,0.8883792048929662,0.014783291666811464
opus-4.8,winrate,baseline,99,0.022979797979797982,0.010521626995580619
opus-4.8,winrate,realism_filter,99,0.019949494949494953,0.009568296238280248
opus-4.8,winrate,cr2bo4,99,0.06515151515151515,0.015822302394659333
opus-4.8,s_eval_awareness,baseline,100,0.11111111111111112,0.03936634794986419
opus-4.8,s_eval_awareness,realism_filter,100,0.12222222222222222,0.04011969502141163
opus-4.8,s_eval_awareness,cr2bo4,100,0.05111111111111111,0.026881051081332166
opus-4.8,concerning,baseline,100,0.12833333333333333,0.023506722334517487
opus-4.8,concerning,realism_filter,100,0.16166666666666668,0.02803320755169461
opus-4.8,concerning,cr2bo4,100,0.19777777777777783,0.02699841284672947
opus-4.8,s_seed_adherence,baseline,100,0.8783333333333333,0.022834800075924127
opus-4.8,s_seed_adherence,realism_filter,100,0.8866666666666666,0.02310720959456155
opus-4.8,s_seed_adherence,cr2bo4,100,0.8755555555555558,0.018643893837944257
gpt-5.5,winrate,baseline,74,0.011737395290026872,0.007115855411543147
gpt-5.5,winrate,realism_filter,74,0.01673186344238976,0.011011059594960295
gpt-5.5,winrate,cr2bo4,74,0.050924608819345664,0.018484539005669064
gpt-5.5,s_eval_awareness,baseline,74,0.017267267267267267,0.008361077084149064
gpt-5.5,s_eval_awareness,realism_filter,74,0.01801801801801802,0.008408829790010716
gpt-5.5,s_eval_awareness,cr2bo4,74,0.01651651651651652,0.018111732680877835
gpt-5.5,concerning,baseline,74,0.19294294294294295,0.046812364175505716
gpt-5.5,concerning,realism_filter,74,0.1644144144144144,0.03797001594236793
gpt-5.5,concerning,cr2bo4,74,0.15390390390390388,0.04255495807304252
gpt-5.5,s_seed_adherence,baseline,74,0.8588588588588588,0.02725207643766507
gpt-5.5,s_seed_adherence,realism_filter,74,0.8851351351351351,0.024819340046045007
gpt-5.5,s_seed_adherence,cr2bo4,74,0.8723723723723724,0.020712219631487585
gemini-3.5-flash,winrate,baseline,116,0.15240093768905022,0.03341379245795068
gemini-3.5-flash,winrate,realism_filter,116,0.15315839887074006,0.03651597074693973
gemini-3.5-flash,winrate,cr2bo4,116,0.24109039713889185,0.049781837779479976
gemini-3.5-flash,s_eval_awareness,baseline,116,0.05603448275862069,0.02597263980812105
gemini-3.5-flash,s_eval_awareness,realism_filter,116,0.042145593869731796,0.021357897742001555
gemini-3.5-flash,s_eval_awareness,cr2bo4,116,0.0210727969348659,0.0155856782404928
gemini-3.5-flash,concerning,baseline,116,0.4094827586206897,0.04191868340764238
gemini-3.5-flash,concerning,realism_filter,116,0.39319923371647514,0.04184697213595376
gemini-3.5-flash,concerning,cr2bo4,116,0.4722222222222222,0.04410832357990513
gemini-3.5-flash,s_seed_adherence,baseline,116,0.8606321839080461,0.028641548446212813
gemini-3.5-flash,s_seed_adherence,realism_filter,116,0.885536398467433,0.02259810443627642
gemini-3.5-flash,s_seed_adherence,cr2bo4,116,0.8826628352490422,0.02238005970469546
