target,measure,condition,n,mean,ci_half
sonnet-4.6,winrate,baseline,77,0.1119443056943057,0.02335540962602628
sonnet-4.6,winrate,realism_filter,77,0.11450216450216452,0.02317602950129902
sonnet-4.6,winrate,cr2bo4,77,0.2698051948051948,0.039477716943810234
sonnet-4.6,s_eval_awareness,baseline,77,0.07864357864357864,0.04122181263254744
sonnet-4.6,s_eval_awareness,realism_filter,77,0.08802308802308802,0.04200084455575825
sonnet-4.6,s_eval_awareness,cr2bo4,77,0.023088023088023088,0.01664216208399526
sonnet-4.6,concerning,baseline,77,0.189033189033189,0.03724057116735966
sonnet-4.6,concerning,realism_filter,77,0.1774891774891775,0.03550142791490642
sonnet-4.6,concerning,cr2bo4,77,0.3217893217893218,0.03614048288506209
sonnet-4.6,s_seed_adherence,baseline,77,0.875180375180375,0.0229652015690554
sonnet-4.6,s_seed_adherence,realism_filter,77,0.8766233766233766,0.02851209916416157
sonnet-4.6,s_seed_adherence,cr2bo4,77,0.8997113997113997,0.018232595662187868
opus-4.8,winrate,baseline,66,0.02348484848484849,0.01346075511252513
opus-4.8,winrate,realism_filter,66,0.024242424242424242,0.013954402800018532
opus-4.8,winrate,cr2bo4,66,0.0712121212121212,0.0199685840301132
opus-4.8,s_eval_awareness,baseline,67,0.11194029850746269,0.04898624081998169
opus-4.8,s_eval_awareness,realism_filter,67,0.14676616915422883,0.055706839010252536
opus-4.8,s_eval_awareness,cr2bo4,67,0.061359867330016575,0.038060203259482984
opus-4.8,concerning,baseline,67,0.11028192371475953,0.02685531854410436
opus-4.8,concerning,realism_filter,67,0.13598673300165834,0.030570986507855006
opus-4.8,concerning,cr2bo4,67,0.21061359867330015,0.03431115891153054
opus-4.8,s_seed_adherence,baseline,67,0.8557213930348258,0.031840560088558165
opus-4.8,s_seed_adherence,realism_filter,67,0.8797678275290215,0.03077321660735751
opus-4.8,s_seed_adherence,cr2bo4,67,0.8789386401326701,0.026698395280378262
gpt-5.5,winrate,baseline,53,0.015419838905439704,0.009603338136555877
gpt-5.5,winrate,realism_filter,53,0.02144985104270109,0.015073599693033127
gpt-5.5,winrate,cr2bo4,53,0.060575968222442905,0.02352240349696795
gpt-5.5,s_eval_awareness,baseline,53,0.016771488469601675,0.00908123466918134
gpt-5.5,s_eval_awareness,realism_filter,53,0.018867924528301886,0.010552979638386388
gpt-5.5,s_eval_awareness,cr2bo4,53,0.020964360587002098,0.025100643971570604
gpt-5.5,concerning,baseline,53,0.19496855345911945,0.05616433462808359
gpt-5.5,concerning,realism_filter,53,0.1582809224318658,0.04576230565121987
gpt-5.5,concerning,cr2bo4,53,0.15199161425576518,0.04731116906996679
gpt-5.5,s_seed_adherence,baseline,53,0.8354297693920335,0.035072093151432115
gpt-5.5,s_seed_adherence,realism_filter,53,0.8752620545073375,0.03102965910074185
gpt-5.5,s_seed_adherence,cr2bo4,53,0.8763102725366875,0.027460339452902383
gemini-3.5-flash,winrate,baseline,93,0.1374080362195812,0.03230684558573433
gemini-3.5-flash,winrate,realism_filter,93,0.1304958183990442,0.03496287486197683
gemini-3.5-flash,winrate,cr2bo4,93,0.20985468890442424,0.05056202015295789
gemini-3.5-flash,s_eval_awareness,baseline,93,0.04778972520908004,0.024101380704743026
gemini-3.5-flash,s_eval_awareness,realism_filter,93,0.04540023894862605,0.0258413542345017
gemini-3.5-flash,s_eval_awareness,cr2bo4,93,0.02210274790919952,0.018548580967554705
gemini-3.5-flash,concerning,baseline,93,0.40860215053763443,0.04800917337422495
gemini-3.5-flash,concerning,realism_filter,93,0.3912783751493429,0.04714320319099092
gemini-3.5-flash,concerning,cr2bo4,93,0.47013142174432504,0.05040056929924047
gemini-3.5-flash,s_seed_adherence,baseline,93,0.8428912783751492,0.03438568356987484
gemini-3.5-flash,s_seed_adherence,realism_filter,93,0.8757467144563919,0.027324502161249133
gemini-3.5-flash,s_seed_adherence,cr2bo4,93,0.884109916367981,0.027388229371541672
