target,measure,condition,n,mean,ci_half
sonnet-4.6,winrate,baseline,147,0.09673273155416012,0.016772137008732854
sonnet-4.6,winrate,realism_filter,147,0.10351473922902495,0.016467881335660947
sonnet-4.6,winrate,cr2bo4,147,0.2605442176870748,0.028992407132765248
sonnet-4.6,s_eval_awareness,baseline,147,0.09826152683295539,0.04052050354787941
sonnet-4.6,s_eval_awareness,realism_filter,147,0.08390022675736962,0.03662946107401745
sonnet-4.6,s_eval_awareness,cr2bo4,147,0.021919879062736205,0.016504975423046568
sonnet-4.6,concerning,baseline,147,0.2849584278155706,0.03842403244599859
sonnet-4.6,concerning,realism_filter,147,0.27664399092970526,0.03709556731230942
sonnet-4.6,concerning,cr2bo4,147,0.4202569916855631,0.03674541692751964
sonnet-4.6,s_seed_adherence,baseline,146,0.9254185692541858,0.01894533994020234
sonnet-4.6,s_seed_adherence,realism_filter,146,0.9231354642313546,0.019693889140954515
sonnet-4.6,s_seed_adherence,cr2bo4,146,0.867579908675799,0.02569116133471402
opus-4.8,winrate,baseline,148,0.018074324324324327,0.007380819398021993
opus-4.8,winrate,realism_filter,148,0.016722972972972976,0.006700030559626452
opus-4.8,winrate,cr2bo4,148,0.06554054054054055,0.01406584430216133
opus-4.8,s_eval_awareness,baseline,147,0.13000755857898716,0.044216091934639656
opus-4.8,s_eval_awareness,realism_filter,147,0.1678004535147392,0.0480477986482953
opus-4.8,s_eval_awareness,cr2bo4,147,0.0710506424792139,0.03330237891870652
opus-4.8,concerning,baseline,147,0.18972033257747542,0.03018848207311933
opus-4.8,concerning,realism_filter,147,0.22826908541194257,0.03478469327659585
opus-4.8,concerning,cr2bo4,147,0.2713529856386999,0.0327121518892301
opus-4.8,s_seed_adherence,baseline,147,0.9266817838246411,0.019664416736796447
opus-4.8,s_seed_adherence,realism_filter,147,0.9176114890400606,0.0217548839441389
opus-4.8,s_seed_adherence,cr2bo4,147,0.8526077097505669,0.027017316741422652
gpt-5.5,winrate,baseline,148,0.010047218270902486,0.005882669885347862
gpt-5.5,winrate,realism_filter,148,0.012011024182076816,0.006137081505187537
gpt-5.5,winrate,cr2bo4,148,0.06315789473684211,0.015344347398025666
gpt-5.5,s_eval_awareness,baseline,146,0.005327245053272451,0.00532644172942436
gpt-5.5,s_eval_awareness,realism_filter,146,0.00684931506849315,0.009978324234769902
gpt-5.5,s_eval_awareness,cr2bo4,146,0.0045662100456621,0.00894960723534271
gpt-5.5,concerning,baseline,147,0.22675736961451243,0.040703354391704236
gpt-5.5,concerning,realism_filter,147,0.20105820105820107,0.03319522798415404
gpt-5.5,concerning,cr2bo4,147,0.14663643235071808,0.03195057542731188
gpt-5.5,s_seed_adherence,baseline,148,0.9294294294294295,0.018693006478630057
gpt-5.5,s_seed_adherence,realism_filter,148,0.9466966966966965,0.014979814248435605
gpt-5.5,s_seed_adherence,cr2bo4,148,0.8145645645645645,0.030714832840770194
gemini-3.5-flash,winrate,baseline,149,0.14297656893912636,0.02949983414520912
gemini-3.5-flash,winrate,realism_filter,149,0.1422328191844264,0.03133198925061814
gemini-3.5-flash,winrate,cr2bo4,149,0.22556101564610304,0.04305659115942091
gemini-3.5-flash,s_eval_awareness,baseline,149,0.05219985085756899,0.02700564221732642
gemini-3.5-flash,s_eval_awareness,realism_filter,149,0.03877703206562268,0.024967209291500054
gemini-3.5-flash,s_eval_awareness,cr2bo4,149,0.023117076808351976,0.018465674355308118
gemini-3.5-flash,concerning,baseline,149,0.4802386278896345,0.04175110638945835
gemini-3.5-flash,concerning,realism_filter,149,0.4489187173750932,0.04310004552826687
gemini-3.5-flash,concerning,cr2bo4,149,0.5369127516778524,0.04474155042089854
gemini-3.5-flash,s_seed_adherence,baseline,149,0.913497390007457,0.023813842111431633
gemini-3.5-flash,s_seed_adherence,realism_filter,149,0.9395973154362416,0.01848988959467251
gemini-3.5-flash,s_seed_adherence,cr2bo4,149,0.8829231916480238,0.024782107565607163
