target,measure,condition,n,mean,ci_half
sonnet-4.6,winrate,baseline,147,0.09673273155416012,0.016772137008732854
sonnet-4.6,winrate,realism_filter,147,0.10351473922902495,0.016467881335660947
sonnet-4.6,winrate,cr2bo4,147,0.2605442176870748,0.028992407132765248
sonnet-4.6,s_eval_awareness,baseline,146,0.13926940639269406,0.037377161306058664
sonnet-4.6,s_eval_awareness,realism_filter,146,0.1248097412480974,0.0352855532251969
sonnet-4.6,s_eval_awareness,cr2bo4,146,0.041095890410958895,0.0159826856688894
sonnet-4.6,concerning,baseline,147,0.09674981103552531,0.019183827726238084
sonnet-4.6,concerning,realism_filter,147,0.09977324263038548,0.022122150310548976
sonnet-4.6,concerning,cr2bo4,147,0.17611489040060466,0.022232634659229807
sonnet-4.6,s_seed_adherence,baseline,146,0.84779299847793,0.013720047291351367
sonnet-4.6,s_seed_adherence,realism_filter,146,0.8378995433789954,0.01772563857540694
sonnet-4.6,s_seed_adherence,cr2bo4,146,0.8059360730593607,0.020171162076886424
opus-4.8,winrate,baseline,148,0.018074324324324327,0.007380819398021993
opus-4.8,winrate,realism_filter,148,0.016722972972972976,0.006700030559626452
opus-4.8,winrate,cr2bo4,148,0.06554054054054055,0.01406584430216133
opus-4.8,s_eval_awareness,baseline,147,0.18442932728647016,0.04095334952957857
opus-4.8,s_eval_awareness,realism_filter,147,0.19123204837490554,0.04229570301604697
opus-4.8,s_eval_awareness,cr2bo4,147,0.07634164777021919,0.027232341442706764
opus-4.8,concerning,baseline,149,0.06263982102908276,0.014565237714251198
opus-4.8,concerning,realism_filter,149,0.0738255033557047,0.01742737448695274
opus-4.8,concerning,cr2bo4,149,0.10663683818046235,0.0181844847524576
opus-4.8,s_seed_adherence,baseline,147,0.8458049886621316,0.016344813565149777
opus-4.8,s_seed_adherence,realism_filter,147,0.8480725623582765,0.017724099579236853
opus-4.8,s_seed_adherence,cr2bo4,147,0.7906273620559333,0.02149210561190969
gpt-5.5,winrate,baseline,148,0.010047218270902486,0.005882669885347862
gpt-5.5,winrate,realism_filter,148,0.012011024182076816,0.006137081505187537
gpt-5.5,winrate,cr2bo4,148,0.06315789473684211,0.015344347398025666
gpt-5.5,s_eval_awareness,baseline,145,0.05210727969348659,0.019306711786801406
gpt-5.5,s_eval_awareness,realism_filter,145,0.039080459770114935,0.01288208966165755
gpt-5.5,s_eval_awareness,cr2bo4,145,0.02528735632183908,0.012196260342192716
gpt-5.5,concerning,baseline,148,0.1539039039039039,0.025955448126545575
gpt-5.5,concerning,realism_filter,148,0.14789789789789787,0.024384842360608845
gpt-5.5,concerning,cr2bo4,148,0.13738738738738734,0.0254326516244699
gpt-5.5,s_seed_adherence,baseline,146,0.8455098934550989,0.017756774144106476
gpt-5.5,s_seed_adherence,realism_filter,146,0.8485540334855403,0.017049672038954276
gpt-5.5,s_seed_adherence,cr2bo4,146,0.7153729071537289,0.027269573946181125
gemini-3.5-flash,winrate,baseline,149,0.14297656893912636,0.02949983414520912
gemini-3.5-flash,winrate,realism_filter,149,0.1422328191844264,0.03133198925061814
gemini-3.5-flash,winrate,cr2bo4,149,0.22556101564610304,0.04305659115942091
gemini-3.5-flash,s_eval_awareness,baseline,147,0.08314436885865457,0.027477977382994373
gemini-3.5-flash,s_eval_awareness,realism_filter,147,0.07407407407407407,0.02653620448158375
gemini-3.5-flash,s_eval_awareness,cr2bo4,147,0.03552532123960696,0.018801545268913096
gemini-3.5-flash,concerning,baseline,149,0.3117076808351976,0.03578243156693087
gemini-3.5-flash,concerning,realism_filter,149,0.31096196868008946,0.037329794408370136
gemini-3.5-flash,concerning,cr2bo4,149,0.34451901565995524,0.03928162954499757
gemini-3.5-flash,s_seed_adherence,baseline,147,0.8125472411186696,0.025557990180951243
gemini-3.5-flash,s_seed_adherence,realism_filter,147,0.8216175359032502,0.02289025297678197
gemini-3.5-flash,s_seed_adherence,cr2bo4,147,0.800453514739229,0.025827709642100585
