target,measure,condition,n,mean,ci_half
sonnet-4.6,winrate,baseline,147,0.09673273155416012,0.016772137008732854
sonnet-4.6,winrate,cr2bo4,147,0.2605442176870748,0.028992407132765248
sonnet-4.6,s_eval_awareness,baseline,147,0.11829176114890401,0.0367935559192516
sonnet-4.6,s_eval_awareness,cr2bo4,147,0.03136810279667422,0.01471834159059251
sonnet-4.6,concerning,baseline,147,0.19085411942554795,0.02665532285544842
sonnet-4.6,concerning,cr2bo4,147,0.2981859410430839,0.026405734888687027
sonnet-4.6,s_seed_adherence,baseline,147,0.8869992441421013,0.014504609073136046
sonnet-4.6,s_seed_adherence,cr2bo4,147,0.8367346938775511,0.021496126962045344
opus-4.8,winrate,baseline,149,0.01795302013422819,0.0073349705387826675
opus-4.8,winrate,cr2bo4,149,0.06510067114093959,0.013997698503826506
opus-4.8,s_eval_awareness,baseline,149,0.15548098434004473,0.04016144281637951
opus-4.8,s_eval_awareness,cr2bo4,149,0.07345264727815062,0.028873049064631173
opus-4.8,concerning,baseline,149,0.12527964205816552,0.020031379249568822
opus-4.8,concerning,cr2bo4,149,0.18941088739746456,0.022457387247656526
opus-4.8,s_seed_adherence,baseline,149,0.8866517524235645,0.016490094394568357
opus-4.8,s_seed_adherence,cr2bo4,149,0.8217747949291573,0.022150320195650896
gpt-5.5,winrate,baseline,148,0.010047218270902486,0.005882669885347862
gpt-5.5,winrate,cr2bo4,148,0.06315789473684211,0.015344347398025666
gpt-5.5,s_eval_awareness,baseline,148,0.02852852852852853,0.010307972892809634
gpt-5.5,s_eval_awareness,cr2bo4,148,0.01539039039039039,0.009949335346052225
gpt-5.5,concerning,baseline,148,0.18956456456456458,0.03180229378151365
gpt-5.5,concerning,cr2bo4,148,0.14189189189189189,0.026189326432909325
gpt-5.5,s_seed_adherence,baseline,148,0.887012012012012,0.0167826436228677
gpt-5.5,s_seed_adherence,cr2bo4,148,0.765015015015015,0.026944430785832252
gemini-3.5-flash,winrate,baseline,149,0.14297656893912636,0.02949983414520912
gemini-3.5-flash,winrate,cr2bo4,149,0.22556101564610304,0.04305659115942091
gemini-3.5-flash,s_eval_awareness,baseline,149,0.06785980611483967,0.025837971138198215
gemini-3.5-flash,s_eval_awareness,cr2bo4,149,0.02982848620432513,0.017886576389916215
gemini-3.5-flash,concerning,baseline,149,0.3959731543624161,0.036593301707783285
gemini-3.5-flash,concerning,cr2bo4,149,0.44071588366890385,0.04003653979681494
gemini-3.5-flash,s_seed_adherence,baseline,149,0.8635346756152125,0.023589282334792024
gemini-3.5-flash,s_seed_adherence,cr2bo4,149,0.8411633109619685,0.02380565829573415
