target,measure,mean_diff,ci95_half,n
sonnet-4.6,winrate,0.16381148613291469,0.02225735498386246,147
sonnet-4.6,s_eval_awareness,-0.08692365835222979,0.03756388348738271,147
sonnet-4.6,concerning,0.10733182161753589,0.03011237885204824,147
sonnet-4.6,s_seed_adherence,-0.050264550264550255,0.01916242290584888,147
opus-4.8,winrate,0.047147651006711415,0.012877473112042959,149
opus-4.8,s_eval_awareness,-0.08202833706189412,0.037798021143139696,149
opus-4.8,concerning,0.06413124533929904,0.025054091356293624,149
opus-4.8,s_seed_adherence,-0.06487695749440714,0.019160552947838774,149
gpt-5.5,winrate,0.05311067646593963,0.012641576721489429,148
gpt-5.5,s_eval_awareness,-0.013138138138138139,0.013138138138138139,148
gpt-5.5,concerning,-0.047672672672672674,0.03407108071728789,148
gpt-5.5,s_seed_adherence,-0.12199699699699701,0.028737293945229527,148
gemini-3.5-flash,winrate,0.08258444670697668,0.027247934889300225,149
gemini-3.5-flash,s_eval_awareness,-0.03803131991051454,0.028533006667390094,149
gemini-3.5-flash,concerning,0.04474272930648769,0.03618601639876742,149
gemini-3.5-flash,s_seed_adherence,-0.022371364653243846,0.01931474171604149,149
