bar,measure,mean,ci_half,n
Baseline,winrate,0.08928571428571429,0.028361718993182312,49
Baseline,eval_awareness,0.12244897959183673,0.05360172978974574,49
Baseline,s_seed_adherence,0.8480725623582765,0.019772003811505325,49
Baseline,concerning,0.13151927437641725,0.03845722288180138,49
cr2bo4,winrate,0.2780612244897959,0.04880355997035561,49
cr2bo4,eval_awareness,0.02040816326530612,0.0197511802103498,49
cr2bo4,s_seed_adherence,0.8072562358276643,0.03346824529097109,49
cr2bo4,concerning,0.21768707482993194,0.04664816946158479,49
Multibranch (optimize RWR),winrate,0.2571428571428571,0.0449120533434627,49
Multibranch (optimize RWR),eval_awareness,0.1678004535147392,0.06417450554870385,49
Multibranch (optimize RWR),s_seed_adherence,0.562358276643991,0.09211560595807045,49
Multibranch (optimize RWR),concerning,0.14285714285714285,0.03360322317995334,49
Multibranch (held-out RWR),winrate,0.1752120306739434,0.040219234086484285,49
Multibranch (held-out RWR),eval_awareness,0.18289565133188787,0.059350842891197166,49
Multibranch (held-out RWR),s_seed_adherence,0.6056252138887598,0.07059794481246291,49
Multibranch (held-out RWR),concerning,0.14190085835299054,0.028219646053543917,49
Multibranch (first branch),winrate,0.13571428571428573,0.03258262804435614,49
Multibranch (first branch),eval_awareness,0.21541950113378688,0.07139856466888705,49
Multibranch (first branch),s_seed_adherence,0.8095238095238093,0.04490419579667348,49
Multibranch (first branch),concerning,0.1405895691609977,0.037448866403097525,49
