bar,measure,mean,ci_half,n
Baseline,winrate,0.0951388888888889,0.03380241446534885,36
Baseline,eval_awareness,0.08024691358024691,0.04954708456288262,36
Baseline,s_seed_adherence,0.845679012345679,0.023406404288120044,36
Baseline,concerning,0.14506172839506173,0.04816679059320285,36
cr2bo4,winrate,0.28472222222222227,0.05293507652297176,36
cr2bo4,eval_awareness,0.012345679012345678,0.01896480056188216,36
cr2bo4,s_seed_adherence,0.8580246913580246,0.022308611222419675,36
cr2bo4,concerning,0.25,0.057141949199950616,36
Multibranch (optimize RWR),winrate,0.27222222222222225,0.05331170155361555,36
Multibranch (optimize RWR),eval_awareness,0.12654320987654322,0.06384776160488638,36
Multibranch (optimize RWR),s_seed_adherence,0.5925925925925927,0.10118234981099503,36
Multibranch (optimize RWR),concerning,0.14814814814814814,0.04161014458508913,36
Multibranch (held-out RWR),winrate,0.18697486174682737,0.048192404366265186,36
Multibranch (held-out RWR),eval_awareness,0.15045445761756962,0.06245321421318523,36
Multibranch (held-out RWR),s_seed_adherence,0.6269981729549957,0.07785171762846965,36
Multibranch (held-out RWR),concerning,0.15128841888842956,0.033952857753069686,36
Multibranch (first branch),winrate,0.15277777777777776,0.0382435092743578,36
Multibranch (first branch),eval_awareness,0.1728395061728395,0.07585920224752865,36
Multibranch (first branch),s_seed_adherence,0.8117283950617283,0.05474984640068415,36
Multibranch (first branch),concerning,0.15123456790123452,0.044370489369269565,36
