target,bar,measure,mean,ci_half,n
sonnet-4.6,Baseline,winrate,0.09404761904761905,0.032242597599133616,42
sonnet-4.6,Baseline,eval_awareness,0.08994708994708994,0.049641254790940406,42
sonnet-4.6,Baseline,concerning,0.20767195767195765,0.054419349996444745,42
sonnet-4.6,Baseline,s_seed_adherence,0.8822751322751323,0.026029574557151144,42
sonnet-4.6,cr2bo4,winrate,0.28154761904761905,0.05341177062650608,42
sonnet-4.6,cr2bo4,eval_awareness,0.022486772486772486,0.027784252195662044,42
sonnet-4.6,cr2bo4,concerning,0.3425925925925926,0.05389264014354073,42
sonnet-4.6,cr2bo4,s_seed_adherence,0.8293650793650793,0.039862402823296436,42
sonnet-4.6,Multibranch (max concerning),winrate,0.13333333333334435,0.03698961419480932,42
sonnet-4.6,Multibranch (max concerning),eval_awareness,0.17063492063497926,0.07716373941391698,42
sonnet-4.6,Multibranch (max concerning),concerning,0.41666666666662117,0.05050717971744473,42
sonnet-4.6,Multibranch (max concerning),s_seed_adherence,0.6388888888891414,0.10385423522497378,42
sonnet-4.6,Multibranch (max held-out RWR),winrate,0.16745044119205352,0.04391390014065871,42
sonnet-4.6,Multibranch (max held-out RWR),eval_awareness,0.14740878714805938,0.0663723651501675,42
sonnet-4.6,Multibranch (max held-out RWR),concerning,0.2212371157556534,0.04108598536195471,42
sonnet-4.6,Multibranch (max held-out RWR),s_seed_adherence,0.6099392272588768,0.08181505993072134,42
opus-4.8,Baseline,winrate,0.016875000000000005,0.01269856467664933,40
opus-4.8,Baseline,eval_awareness,0.08472222222222223,0.05113010992287647,40
opus-4.8,Baseline,concerning,0.12916666666666665,0.036446257744773745,40
opus-4.8,Baseline,s_seed_adherence,0.8763888888888889,0.0271483338308176,40
opus-4.8,cr2bo4,winrate,0.055625,0.021947275968525092,40
opus-4.8,cr2bo4,eval_awareness,0.03611111111111111,0.02983264322150082,40
opus-4.8,cr2bo4,concerning,0.19583333333333333,0.04234930467421017,40
opus-4.8,cr2bo4,s_seed_adherence,0.8138888888888889,0.04878146294299138,40
opus-4.8,Multibranch (max concerning),winrate,0.002499999999998589,0.0034200511128168543,40
opus-4.8,Multibranch (max concerning),eval_awareness,0.12087742504414675,0.06718417237029245,40
opus-4.8,Multibranch (max concerning),concerning,0.36942239858914316,0.05479530908559121,40
opus-4.8,Multibranch (max concerning),s_seed_adherence,0.5180335097004052,0.11917513271312624,40
opus-4.8,Multibranch (max held-out RWR),winrate,0.018060397770219706,0.012889911321844104,40
opus-4.8,Multibranch (max held-out RWR),eval_awareness,0.14618081800625626,0.05921118325785655,40
opus-4.8,Multibranch (max held-out RWR),concerning,0.17197669963055867,0.043215490745722396,40
opus-4.8,Multibranch (max held-out RWR),s_seed_adherence,0.7371090797433524,0.07586377427360416,40
