bar,measure,mean,ci_half,n
Baseline,winrate,0.016875000000000005,0.01269856467664933,40
Baseline,eval_awareness,0.08472222222222223,0.05113010992287647,40
Baseline,concerning,0.12916666666666665,0.036446257744773745,40
cr2bo4,winrate,0.055625,0.021947275968525092,40
cr2bo4,eval_awareness,0.03611111111111111,0.02983264322150082,40
cr2bo4,concerning,0.19583333333333333,0.04234930467421017,40
Multibranch (max concerning),winrate,0.002499999999998589,0.0034200511128168543,40
Multibranch (max concerning),eval_awareness,0.12087742504414675,0.06718417237029245,40
Multibranch (max concerning),concerning,0.36942239858914316,0.05479530908559121,40
Multibranch (max held-out RWR),winrate,0.018060397770219706,0.012889911321844104,40
Multibranch (max held-out RWR),eval_awareness,0.14618081800625626,0.05921118325785655,40
Multibranch (max held-out RWR),concerning,0.17197669963055867,0.043215490745722396,40
