bar,measure,mean,ci_half,n
Baseline,winrate,0.02102272727272728,0.014154673132616757,44
Baseline,eval_awareness,0.056818181818181816,0.027305304540044494,44
Baseline,concerning,0.13005050505050508,0.0343133128904746,44
Baseline,s_seed_adherence,0.8914141414141412,0.0209306081512233,44
cr2bo4,winrate,0.056818181818181816,0.023379150101420595,44
cr2bo4,eval_awareness,0.015151515151515154,0.01083308841011137,44
cr2bo4,concerning,0.19696969696969696,0.04254961391363618,44
cr2bo4,s_seed_adherence,0.828282828282828,0.0427499742145006,44
Multibranch (optimize RWR),winrate,0.04671717171717171,0.02371765984530131,44
Multibranch (optimize RWR),eval_awareness,0.16414141414141412,0.06362103330308107,44
Multibranch (optimize RWR),concerning,0.2058080808080808,0.0531716180400225,44
Multibranch (optimize RWR),s_seed_adherence,0.7525252525252526,0.06977504440478279,44
Multibranch (held-out RWR),winrate,0.016403547951167538,0.011803995012502922,44
Multibranch (held-out RWR),eval_awareness,0.1564606763020078,0.05847910731617972,44
Multibranch (held-out RWR),concerning,0.19717192315575263,0.04573535471685264,44
Multibranch (held-out RWR),s_seed_adherence,0.7609904195969706,0.060042847708943796,44
Multibranch (first branch),winrate,0.00568181818181818,0.00474294945833228,44
Multibranch (first branch),eval_awareness,0.16287878787878787,0.06366467105210365,44
Multibranch (first branch),concerning,0.18813131313131315,0.046458657072831644,44
Multibranch (first branch),s_seed_adherence,0.8484848484848484,0.04341116368489809,44
