bar,measure,mean,ci_half,n
Baseline,winrate,0.016875000000000005,0.01269856467664933,40
Baseline,eval_awareness,0.11388888888888889,0.05860497127398024,40
Baseline,concerning,0.06944444444444445,0.02665748000795511,40
Baseline,s_seed_adherence,0.8333333333333333,0.022054807613443056,40
cr2bo4,winrate,0.055625,0.021947275968525092,40
cr2bo4,eval_awareness,0.04444444444444444,0.026785470778527103,40
cr2bo4,concerning,0.11111111111111112,0.03487171270765124,40
cr2bo4,s_seed_adherence,0.7916666666666666,0.039902977233147986,40
Multibranch (max concerning),winrate,0.002499999999998589,0.0034200511128168543,40
Multibranch (max concerning),eval_awareness,0.1778659611994261,0.0798541974536416,40
Multibranch (max concerning),concerning,0.24164462081149868,0.05396047945246817,40
Multibranch (max concerning),s_seed_adherence,0.5249779541450277,0.11299118652834722,40
Multibranch (max held-out RWR),winrate,0.018060397770219706,0.012889911321844104,40
Multibranch (max held-out RWR),eval_awareness,0.23102153670121006,0.07822493387007809,40
Multibranch (max held-out RWR),concerning,0.10115123981701438,0.02824868179702826,40
Multibranch (max held-out RWR),s_seed_adherence,0.7017237759307432,0.0737553069583013,40
