bar,measure,mean,ci_half,n
Baseline,winrate,0.09404761904761905,0.032242597599133616,42
Baseline,eval_awareness,0.08994708994708994,0.049641254790940406,42
Baseline,concerning,0.20767195767195765,0.054419349996444745,42
Baseline,s_seed_adherence,0.8822751322751323,0.026029574557151144,42
cr2bo4,winrate,0.28154761904761905,0.05341177062650608,42
cr2bo4,eval_awareness,0.022486772486772486,0.027784252195662044,42
cr2bo4,concerning,0.3425925925925926,0.05389264014354073,42
cr2bo4,s_seed_adherence,0.8293650793650793,0.039862402823296436,42
Multibranch (max concerning),winrate,0.13333333333334435,0.03698961419480932,42
Multibranch (max concerning),eval_awareness,0.17063492063497926,0.07716373941391698,42
Multibranch (max concerning),concerning,0.41666666666662117,0.05050717971744473,42
Multibranch (max concerning),s_seed_adherence,0.6388888888891414,0.10385423522497378,42
Multibranch (max held-out RWR),winrate,0.16745044119205352,0.04391390014065871,42
Multibranch (max held-out RWR),eval_awareness,0.14740878714805938,0.0663723651501675,42
Multibranch (max held-out RWR),concerning,0.2212371157556534,0.04108598536195471,42
Multibranch (max held-out RWR),s_seed_adherence,0.6099392272588768,0.08181505993072134,42
