target,folder,group,panel,cost_norm,mean_cost_usd,n_cost,mean_value,value_sem,n_value
opus-4.8,baseline,baseline,winrate,1.0,1.4415631639999997,50,0.020500000000000008,0.006612063804524427,50
opus-4.8,baseline,baseline,eval_awareness,1.0,1.4415631639999997,50,0.12,0.02633964255579878,50
opus-4.8,baseline,baseline,s_seed_adherence,1.0,1.4415631639999997,50,0.8344671201814058,0.011281036701889112,49
opus-4.8,baseline,baseline,concerning,1.0,1.4415631639999997,50,0.07333333333333333,0.012134295145153264,50
opus-4.8,baseline,baseline,Has_EA,1.0,1.4415631639999997,50,0.3,0.06546536707079771,50
opus-4.8,cr1,depth,winrate,6.857983362662431,9.886216194939012,50,0.03200000000000001,0.008082482948466078,50
opus-4.8,cr1,depth,eval_awareness,6.857983362662431,9.886216194939012,50,0.08,0.022456811662003036,50
opus-4.8,cr1,depth,s_seed_adherence,6.857983362662431,9.886216194939012,50,0.8526077097505668,0.010442745184919196,49
opus-4.8,cr1,depth,concerning,6.857983362662431,9.886216194939012,50,0.13555555555555554,0.017757925423424758,50
opus-4.8,cr1,depth,Has_EA,6.857983362662431,9.886216194939012,50,0.22,0.05917804336345138,50
opus-4.8,cr2,depth,winrate,9.382782352530686,13.525873415237497,50,0.043500000000000004,0.010898651854467962,50
opus-4.8,cr2,depth,eval_awareness,9.382782352530686,13.525873415237497,50,0.05333333333333333,0.019111005642276076,50
opus-4.8,cr2,depth,s_seed_adherence,9.382782352530686,13.525873415237497,50,0.8390022675736961,0.009753203250615222,49
opus-4.8,cr2,depth,concerning,9.382782352530686,13.525873415237497,50,0.10444444444444442,0.016002645283972772,50
opus-4.8,cr2,depth,Has_EA,9.382782352530686,13.525873415237497,50,0.14,0.0495695759225642,50
opus-4.8,cr2bo2,combo,winrate,13.667277109034645,19.70224323256475,50,0.052000000000000005,0.012055145399879874,50
opus-4.8,cr2bo2,combo,eval_awareness,13.667277109034645,19.70224323256475,50,0.04888888888888889,0.019089900163013217,50
opus-4.8,cr2bo2,combo,s_seed_adherence,13.667277109034645,19.70224323256475,50,0.8231292517006802,0.015169034195305726,49
opus-4.8,cr2bo2,combo,concerning,13.667277109034645,19.70224323256475,50,0.13333333333333333,0.02081726515651429,50
opus-4.8,cr2bo2,combo,Has_EA,13.667277109034645,19.70224323256475,50,0.2,0.05714285714285715,50
opus-4.8,cr2bo4,combo,winrate,23.464320040175,33.825299438223276,50,0.064,0.013649400076522761,50
opus-4.8,cr2bo4,combo,eval_awareness,23.464320040175,33.825299438223276,50,0.03777777777777778,0.011273194225120447,50
opus-4.8,cr2bo4,combo,s_seed_adherence,23.464320040175,33.825299438223276,50,0.7891156462585034,0.017818859008505338,49
opus-4.8,cr2bo4,combo,concerning,23.464320040175,33.825299438223276,50,0.11333333333333334,0.016339186326930502,50
opus-4.8,cr2bo4,combo,Has_EA,23.464320040175,33.825299438223276,50,0.14,0.0495695759225642,50
gpt-5.5,baseline,baseline,winrate,1.0,1.529767316,50,0.0072234156820623,0.002672690210814066,49
gpt-5.5,baseline,baseline,eval_awareness,1.0,1.529767316,50,0.034013605442176874,0.014919819306993109,49
gpt-5.5,baseline,baseline,s_seed_adherence,1.0,1.529767316,50,0.8402777777777777,0.01233695433111172,48
gpt-5.5,baseline,baseline,concerning,1.0,1.529767316,50,0.20181405895691612,0.026056549793467408,49
gpt-5.5,baseline,baseline,Has_EA,1.0,1.529767316,50,0.08,0.03875617133214439,50
gpt-5.5,cr1,depth,winrate,5.035152785816334,7.702612162808176,50,0.02467776584317938,0.007070198587642266,49
gpt-5.5,cr1,depth,eval_awareness,5.035152785816334,7.702612162808176,50,0.01360544217687075,0.009519759423892665,49
gpt-5.5,cr1,depth,s_seed_adherence,5.035152785816334,7.702612162808176,50,0.8078703703703703,0.017107252224874175,48
gpt-5.5,cr1,depth,concerning,5.035152785816334,7.702612162808176,50,0.16099773242630386,0.022462145982039623,49
gpt-5.5,cr1,depth,Has_EA,5.035152785816334,7.702612162808176,50,0.04,0.027994168488950606,50
gpt-5.5,cr2,depth,winrate,7.152896552815101,10.94226736122561,50,0.03990332975295381,0.010686176175244906,49
gpt-5.5,cr2,depth,eval_awareness,7.152896552815101,10.94226736122561,50,0.006802721088435374,0.0038448582670778156,49
gpt-5.5,cr2,depth,s_seed_adherence,7.152896552815101,10.94226736122561,50,0.7523148148148149,0.020457827695196832,48
gpt-5.5,cr2,depth,concerning,7.152896552815101,10.94226736122561,50,0.15419501133786848,0.019390738522094185,49
gpt-5.5,cr2,depth,Has_EA,7.152896552815101,10.94226736122561,50,0.08,0.03875617133214439,50
gpt-5.5,cr2bo2,combo,winrate,10.951588428589618,16.7533820363402,50,0.047690655209452204,0.009769730483934211,49
gpt-5.5,cr2bo2,combo,eval_awareness,10.951588428589618,16.7533820363402,50,0.0045351473922902496,0.0031732531412975553,49
gpt-5.5,cr2bo2,combo,s_seed_adherence,10.951588428589618,16.7533820363402,50,0.7175925925925926,0.02117259444444299,48
gpt-5.5,cr2bo2,combo,concerning,10.951588428589618,16.7533820363402,50,0.1405895691609977,0.02119099889474858,49
gpt-5.5,cr2bo2,combo,Has_EA,10.951588428589618,16.7533820363402,50,0.1,0.04285714285714286,50
gpt-5.5,cr2bo4,combo,winrate,18.334636036154606,28.04772695886511,50,0.056310418904403865,0.011934978856643201,49
gpt-5.5,cr2bo4,combo,eval_awareness,18.334636036154606,28.04772695886511,50,0.0,0.0,49
gpt-5.5,cr2bo4,combo,s_seed_adherence,18.334636036154606,28.04772695886511,50,0.6944444444444443,0.026154290873427414,48
gpt-5.5,cr2bo4,combo,concerning,18.334636036154606,28.04772695886511,50,0.13151927437641725,0.01935202889567968,49
gpt-5.5,cr2bo4,combo,Has_EA,18.334636036154606,28.04772695886511,50,0.12,0.04642307659791976,50
gemini-3.5-flash,baseline,baseline,winrate,1.0,0.8325388152,50,0.07800000000000001,0.020211130495802733,50
gemini-3.5-flash,baseline,baseline,eval_awareness,1.0,0.8325388152,50,0.05555555555555556,0.018848162042917328,50
gemini-3.5-flash,baseline,baseline,s_seed_adherence,1.0,0.8325388152,50,0.7962962962962964,0.02347095641793566,48
gemini-3.5-flash,baseline,baseline,concerning,1.0,0.8325388152,50,0.3,0.033029606423309224,50
gemini-3.5-flash,baseline,baseline,Has_EA,1.0,0.8325388152,50,0.1,0.04285714285714286,50
gemini-3.5-flash,cr1,depth,winrate,3.4091100332221416,2.838216427945194,50,0.08350000000000002,0.021566342825271576,50
gemini-3.5-flash,cr1,depth,eval_awareness,3.4091100332221416,2.838216427945194,50,0.02666666666666667,0.014394646411116995,50
gemini-3.5-flash,cr1,depth,s_seed_adherence,3.4091100332221416,2.838216427945194,50,0.7847222222222223,0.026343227053508084,48
gemini-3.5-flash,cr1,depth,concerning,3.4091100332221416,2.838216427945194,50,0.3222222222222222,0.033181817397407734,50
gemini-3.5-flash,cr1,depth,Has_EA,3.4091100332221416,2.838216427945194,50,0.14,0.0495695759225642,50
gemini-3.5-flash,cr2,depth,winrate,8.097907110073821,6.741821991020515,50,0.10102631578947369,0.028551791084858905,50
gemini-3.5-flash,cr2,depth,eval_awareness,8.097907110073821,6.741821991020515,50,0.03111111111111111,0.016810415612538068,50
